59.175.192.126	3128	http
221.214.180.130	3128	http
122.224.171.91	3128	http
221.130.63.148	80	http
58.221.213.166	3128	http
202.106.16.36	3128	http
222.175.18.206	8080	http
202.170.128.88	8080	http
61.172.249.96	80	http
202.99.29.27	80	http
60.31.177.188	3128	http
61.172.246.180	80	http
210.74.130.34	8080	http
116.7.255.88	8080	http
59.108.225.80	80	http
58.211.82.37	80	http
222.218.156.66	80	http
210.75.23.85	8080	http
61.186.94.152	3128	http
60.12.160.90	8080	http
60.28.219.163	80	http
219.139.34.77	8080	http
124.238.252.150	80	http
125.41.181.59	8080	http
221.226.3.141	3128	http
60.11.37.10	80	http
222.179.97.2	3128	http
222.141.220.168	80	http
218.25.92.59	80	http
61.188.38.30	80	http
117.25.131.117	80	http
222.83.228.34	8080	http
218.31.134.111	3128	http
218.21.71.41	8080	http
60.29.241.106	80	http
219.142.121.37	80	http
60.190.139.10	80	http
125.46.95.230	80	http
218.26.219.186	8080	http
119.146.67.234	8080	http
218.14.227.197	3128	http
60.12.227.246	80	http
222.134.58.246	3128	http
222.68.207.11	80	http
218.84.186.230	8080	http
222.35.137.120	3128	http
219.239.90.85	3128	http
122.225.31.253	3128	http
221.204.246.116	3128	http
218.56.64.211	8080	http
218.26.219.188	8080	http
219.141.228.88	8080	http
211.155.234.99	80	http
61.153.16.162	80	http
202.109.110.2	8080	http
202.111.189.159	3128	http
222.92.116.39	80	http
61.53.137.50	8080	http
60.28.182.205	80	http
61.181.85.18	80	http
219.132.142.10	8080	http
125.64.24.87	80	http
58.30.227.18	8080	http
59.76.81.3	8080	http
221.130.63.151	80	http
220.194.55.160	3128	http
60.6.241.101	3128	http
210.51.22.225	80	http
61.160.217.150	80	http
218.247.161.37	80	http
61.135.147.172	80	http
